      id  x
1   1524  1
2    218  2
3   4239  2
4   3756  1
5   4280  2
6   1395  1
7   1002  2
8   2383  2
9   1358  1
10  3593  1
11   390  1
12  1799  1
13  2667  1
14  1586  1
15  1729  2
16  4509  2
17   740  1
18  4149  2
19  2330  1
20   208  1
21  3937  1
22  3169  2
23  2331  2
24  1856  1
25  2112  1
26  4912  1
27  4270  2
28  3072  1
29  4570  1
30   271  1
31  2867  2
32   708  0
33  3007  1
34     7  2
35  1359  1
36  3752  1
37    66  2
38  3268  2
39  2566  0
40   932  1
41  4575  1
42  3505  2
43  4807  2
44  2967  1
45  4468  2
46  4822  2
47  2855  2
48  1833  1
49  2984  0
50  2538  0
51   416  0
52   930  0
53  3660  2
54  4918  1
55  3896  1
56    48  1
57  1119  2
58   264  2
59  4945  0
60  4433  1
61  3242  2
62  1643  2
63   400  2
64  4805  1
65  4537  3
66  4778  3
67  2002  3
68  4898  3
69  1981  3
70  3971  4
71   983  4
72  2500  4
73  1534  3
74   421  3
75  1208  4
76  2748  4
77  2595  4
78  2119  4
79  3811  4
80  4895  4
81  3292  4
82  3582  4
83  2759  4
84  1510  3
85  1776  4
86  4130  4
87  1238  4
88    53  4
89  2450  4
90  2905  3
91  2010  3
92  4372  4
93  2884  4
94  2104  4
95  2866  4
96  3527  5
97   534  6
98  1267  6
99  4083  6
100 3033  5
101 3680  6
102  926  5
103 2666  5
104 4594  5
105 3904  5
106 3415  6
107 1629  6
108  186  5
109 1979  6
110 4713  5
111  728  5
112  951  5
113 4759  6
114 3704  6
115 2622  6
116 2575  6
117 2574  5
118 2465  6
119 3643  6
120  233  6
121 2098  6
122 4443  6
123  989  6
124  355  6
125  234  6
126 3957  6
127 4295  8
128 1066  7
129 1145  7
130 4647  8
131  805  7
132 3698  7
133 2819  8
134 2568  7
135 2281  8
136 1302  7
137 1298  8
138 1675  7
139 1366  8
140  282  7
141 2793  8
142  712  8
143 2026  8
144 1532  8
145 2774  7
146 4716  8
147 1605  8
148 2577  8
149 2679  7
150 2446  7
151 1230  8
152 2197  8
153 4655  8
154  956  7
155 2544 10
156 3324 10
157  339  9
158 1453  9
159  646  9
160  224 10
161 1051 10
162 1505 10
163  260  9
164 2148  9
165 3000  9
166  455 10
167 4799 10
168  144  9
169 2641 10
170 3602 10
171 4956 12
172  828 11
173 4008 12
174   51 11
175 1781 12
176 4385 12
177  162 12
178 1667 11
179 3369 11
180 3154 12
181 4624 11
182 2909 11
183 4533 14
184 3175 14
185  593 13
186 1240 13
187 2682 13
188  364 14
189 1825 14
190 1709 14
191 1407 13
192 2466 13
193 4424 14
194 2892 16
195 3713 16
196 3481 15
197  987 15
198 3932 15
199 1958 18
200  237 25
