      id  x
1   3803  2
2      7  4
3   2886  4
4   3527  3
5   4372  6
6    208  6
7   4796  5
8    329  6
9   2866  6
10  2924  7
11   474  8
12  4618  8
13   512  8
14  1128  7
15  4832  7
16  3012  7
17  1080  7
18   569  7
19  4295  8
20  1066  8
21  2488  8
22  4346  8
23  1200  7
24  3520  8
25  3673  8
26  4376  7
27  1976 10
28   356 10
29  1295 10
30   439  9
31  4317 10
32   224  9
33  2681  9
34  3700 10
35  2801 10
36  2276  9
37  3621  9
38  3525 10
39  1928 10
40  4610  9
41  1226 10
42   462 10
43   563  9
44  1710  9
45  2022 10
46  3242  9
47  1800  9
48  3790  9
49  2045 10
50  3423  9
51  3332 10
52  1179 11
53   300 12
54  2206 12
55  4313 11
56  1492 12
57  2578 12
58  3281 11
59  1314 12
60  1436 11
61  3569 12
62  2510 11
63  3642 12
64  1082 11
65  3382 12
66  2575 12
67  3369 11
68   964 12
69  1833 12
70  2435 12
71  2044 11
72  3101 12
73   933 11
74   958 12
75  2074 12
76  4651 11
77  4944 11
78  2560 11
79  1032 11
80  1349 11
81  1651 11
82  1137 11
83  2459 12
84  1355 11
85  4112 12
86  4768 11
87  4574 14
88    29 14
89  4834 14
90  4196 14
91  4617 13
92   203 13
93  4616 14
94  3130 13
95  1418 13
96  1923 14
97    70 14
98   943 14
99  3640 14
100 4069 13
101 4981 14
102  749 13
103 1983 14
104 3929 14
105 4064 14
106 1435 14
107  275 13
108 2675 14
109  640 13
110 3771 13
111 2610 13
112 1876 13
113  530 14
114 1792 13
115  382 13
116 1763 13
117 1345 13
118 2111 13
119 1407 14
120 2655 13
121 3504 13
122 3707 13
123 2971 13
124 2073 14
125  198 13
126 1709 16
127 4855 16
128  901 16
129  373 16
130 3140 15
131  213 15
132 2212 16
133 4562 16
134 2617 15
135 2411 15
136 3275 15
137  988 16
138 3954 15
139 3784 15
140 1399 15
141  324 16
142 2614 16
143 1844 16
144 2623 15
145 3014 16
146 2673 15
147 2453 16
148 2160 15
149 3481 15
150 4688 16
151 1707 15
152 1926 16
153 4907 17
154 3157 18
155 1747 17
156 2877 17
157 2753 18
158 4251 18
159 3209 17
160 1585 17
161 1536 18
162 2659 17
163 2648 18
164  671 17
165 1693 17
166  847 18
167 3612 17
168 2554 18
169 2140 18
170 3638 17
171 4867 17
172  557 17
173 2937 18
174 4314 17
175 4888 17
176 2998 18
177 1715 18
178 2036 20
179 4228 20
180 3163 19
181 4428 20
182 4236 19
183  648 19
184  279 20
185 4689 20
186 3482 19
187 2242 20
188 1951 20
189 4692 20
190 2767 19
191 4418 19
192 2203 21
193  256 21
194 3824 21
195 1978 22
196 1106 22
197 3722 23
198 1055 23
199 2261 23
200 1964 25
